"Napatie"	"Deformacia"
-0.8634688	-0.0860595
-0.4857056	-0.08605814
2.320577	-0.08601237
6.63793	-0.08600299
9.768013	-0.08597144
12.8981	-0.08598402
16.56785	-0.08594629
20.7233	-0.08594319
25.74223	-0.08592742
28.22471	-0.08590536
31.67859	-0.08589908
35.02455	-0.08588969
37.77686	-0.08586454
41.60851	-0.08587392
46.46553	-0.0858299
50.24322	-0.08581731
53.85901	-0.08580784
57.15099	-0.08578587
60.11916	-0.0857764
63.68098	-0.08576381
68.16024	-0.08573557
71.93793	-0.08573557
75.60768	-0.08570722
79.92503	-0.08569463
84.13445	-0.08568206
87.85818	-0.0856569
91.31206	-0.08565371
94.44214	-0.08563485
97.68016	-0.08562227
100.7563	-0.08561278
103.5625	-0.08559392
108.3656	-0.08558454
113.1147	-0.08555619
117.2162	-0.08554361
120.8859	-0.08553103
124.7716	-0.08551526
128.1175	-0.0854964
131.6254	-0.0854901
134.9713	-0.08546495
137.9935	-0.08546495
141.3394	-0.08544608
144.7933	-0.0854366
148.463	-0.08542402
153.428	-0.08539887
158.285	-0.08537371
161.9008	-0.0853769
165.5166	-0.08534227
168.3229	-0.08534855
171.399	-0.08532649
174.2053	-0.08532021
177.5512	-0.08530763
180.4115	-0.08529825
183.6495	-0.08527619
186.9415	-0.08527299
191.2049	-0.08523845
196.0619	-0.08522587
200.4872	-0.08520381
204.5347	-0.08519123
208.0425	-0.08517546
210.8488	-0.08515979
214.0868	-0.08514722
217.109	-0.08513464
220.293	-0.08511577
223.3152	-0.08511257
226.6072	-0.08509052
231.788	-0.08507793
237.5625	-0.08503711
241.9877	-0.08503392
245.9273	-0.08500247
249.1654	-0.08500247
251.7018	-0.08498361
254.2922	-0.08497413
257.0985	-0.08496155
259.8508	-0.08495525
262.819	-0.08493639
266.2729	-0.08493011
269.5648	-0.08490175
272.587	-0.08490495
275.5012	-0.0848735
278.5773	-0.08487979
283.2725	-0.08484835
288.0215	-0.08483887
291.9072	-0.08481371
296.2785	-0.08479793
300.5959	-0.08477598
303.9958	-0.08476969
307.0179	-0.08475082
310.4718	-0.08474135
313.8717	-0.08472247
316.678	-0.0847099
318.8367	-0.08470041
321.2112	-0.08469103
324.1254	-0.08467845
327.0936	-0.08467217
329.684	-0.0846532
333.7315	-0.08463752
337.833	-0.08461547
341.179	-0.08460608
344.0392	-0.0845966
347.1693	-0.08458402
349.9756	-0.08456835
352.512	-0.08456196
355.9659	-0.08454309
358.8262	-0.08453371
361.7404	-0.08451485
364.7086	-0.08451165
368.5402	-0.08448969
372.0481	-0.08447701
375.1782	-0.08446134
377.8765	-0.08445185
381.0605	-0.0844267
383.543	-0.08440784
385.7017	-0.08437011
387.4286	-0.08435124
388.8857	-0.08434495
390.2889	-0.08434175
392.8253	-0.08432608
395.3078	-0.08430722
396.9808	-0.08430722
398.5998	-0.08430722
399.3553	-0.08427258
395.6316	-0.08428196
394.0666	-0.08427258
393.7428	-0.0843166
386.9969	-0.08430093
384.5144	-0.08410897
385.9715	-0.08185
385.5398	-0.08185
387.8064	-0.07583773
389.6413	-0.06763577
398.7617	-0.06098484
408.7456	-0.05484979
418.9453	-0.05246505
427.3642	-0.05004567
434.3259	-0.0477301
439.5607	-0.04572289
444.3098	-0.04399567
448.5732	-0.04235969
452.189	-0.0407866
455.6968	-0.03924814
458.8809	-0.03779464
461.4713	-0.0364166
464.2776	-0.03511093
466.5981	-0.03384938
469.1346	-0.03258464
471.3472	-0.03136701
473.5059	-0.03014949
475.3408	-0.02900742
477.3376	-0.02783072
479.3344	-0.02669186
481.3311	-0.02551206
482.9501	-0.02438577
484.731	-0.02325
486.458	-0.02210794
488.1849	-0.02098165
489.8039	-0.01986155
491.6928	-0.0187133
493.4197	-0.01748309
494.9847	-0.01625608
496.8736	-0.01497876
498.9243	-0.01361021
499.8418	-0.01224165
501.8386	-0.01087938
503.1877	-0.009548557
