deformacia,napatie
-0.003133608,-0.1214253
-0.003114639,0.03035881
-0.003133608,-0.06071265
-0.003117835,0.3035632
-0.003127216,0.51606
-0.003111546,1.335683
-0.003120928,2.246373
-0.003095773,4.735597
-0.003083196,8.955138
-0.003026598,18.12277
-0.002995155,26.22793
-0.002944742,33.72596
-0.002929072,39.82761
-0.002888144,45.29175
-0.002878763,49.7845
-0.002844124,53.8219
-0.002840928,57.19146
-0.002809484,60.40924
-0.00281268,63.05025
-0.00278433,65.69125
-0.002787526,67.93763
-0.002762268,70.30543
-0.002765464,72.30895
-0.002737114,74.55533
-0.002743402,76.43742
-0.002718247,78.6838
-0.002718247,81.17302
-0.002683608,85.5747
-0.002671031,90.43172
-0.00262701,95.77445
-0.002620721,100.419
-0.00258299,104.7599
-0.002573505,108.4634
-0.002538969,112.0455
-0.002538969,115.0508
-0.002510618,118.0561
-0.002510618,120.5756
-0.002482268,123.7023
-0.002472887,127.3755
-0.002444536,131.8682
-0.002428866,135.7842
-0.002394227,139.8823
-0.002387938,143.3429
-0.002356495,146.925
-0.002356495,149.8999
-0.002321856,153.3909
-0.00231866,156.639
-0.002284124,160.6764
-0.002280928,164.1371
-0.002243196,167.962
-0.002236907,171.7869
-0.002199175,175.8546
-0.002195979,179.4367
-0.002161443,182.958
-0.002158247,186.3276
-0.002126804,189.6668
-0.002123608,192.581
-0.002085876,196.2542
-0.002085876,199.5934
-0.002048144,203.57
-0.002041856,207.2432
-0.002004124,211.0377
-0.002000928,214.2858
-0.001966289,217.6858
-0.001966289,220.6607
-0.001931753,224.4552
-0.001925464,228.4319
-0.001887732,232.3783
-0.001884536,235.6568
-0.001846804,239.0567
-0.001846804,242.062
-0.001815361,245.0672
-0.001815361,247.7993
-0.001780722,250.9564
-0.001777526,254.3867
-0.00174299,257.9991
-0.001736701,261.2169
-0.001705258,264.9507
-0.001698866,268.047
-0.001667423,271.4773
-0.001667423,274.2701
-0.001629691,277.245
-0.001629691,280.3717
-0.001595052,284.1967
-0.001591959,287.3234
-0.00155732,290.6626
-0.001551031,293.6982
-0.001516392,297.3713
-0.001513299,300.8016
-0.00147866,304.3533
-0.001472371,307.5103
-0.001444124,310.6978
-0.001444124,313.3084
-0.001409485,315.828
-0.001412577,318.2262
-0.001374845,320.8065
-0.001378041,323.3867
-0.001337113,327.0902
-0.001333917,330.8848
-0.001296186,334.9222
-0.001289897,337.8364
-0.001258454,340.6899
-0.001261649,342.8148
-0.00122701,345.213
-0.00122701,347.338
-0.001189278,349.9486
-0.001186082,352.0735
-0.001148351,354.5324
-0.001151443,356.0199
-0.001107423,356.9913
-0.001066495,357.993
-0.0009029897,360.7859
-0.0006103092,363.8518
-0.001060206,367.7982
-0.0003114433,371.0767
0.0003932989,373.8998
0.001620309,375.3569
0.0003775258,376.4801
0.0005443299,376.9051
0.001050825,378.4533
0.000968969,378.9693
0.001374845,377.3301
0.001069691,380.9425
0.0014,388.1066
1.57732e-05,394.1475
0.0007519588,399.8242
0.0002548454,404.2562
0.0006921649,408.5365
0.00119866,411.9364
