"napatie"	"deformacia"
0.254030868479467	7.938085E-007
-0.508061806326304	-5.897982E-005
-0.338707894006659	3.938414E-006
-1.0584621254162	-5.583521E-005
0.677415718645949	1.338145E-005
-1.39716981132075	-6.842285E-005
-0.592738762486127	1.023684E-005
-1.10080049944506	-6.212443E-005
-1.14313887347392	1.023684E-005
3.13304800221976	-6.212443E-005
22.4817355715871	0.0001203503
37.0461709211987	0.0001109072
55.1247017203108	0.0003217003
71.2133046614872	0.0003279895
90.6467119866815	0.000520804
105.803898446171	0.0005513718
122.569922308546	0.0007215987
139.251248612653	0.0007715987
156.186667591565	0.0009249793
171.809586570477	0.001195742
188.787319644839	0.001425412
204.706576026637	0.001677989
221.006867369589	0.001929681
235.105577136515	0.001945413
251.448251942286	0.002307216
264.149764150943	0.002555763
278.248473917869	0.00336432
288.70609045505	0.00494368
301.661695338513	0.006283887
313.347114317425	0.008206225
327.445824084351	0.01183373
338.792522197558	0.01603069
351.875138734739	0.02026225
362.629092674806	0.02495944
375.54231409545	0.02965663
385.872918978912	0.0346118
398.193396226415	0.03929326
408.100652053274	0.04428583
419.659059378468	0.04969719
429.185210876804	0.05483484
439.812153163152	0.06017386
448.406839622642	0.06516992
458.695130410655	0.0696406
466.90878190899	0.07471846
476.09621254162	0.07998511
483.33608490566	0.08513975
492.100166481687	0.09033403
498.4509572697	0.09551888
506.071864594895	0.1004677
511.787597114317	0.105467
518.350027746948	0.110117
523.134295227525	0.114811
528.765330188679	0.1192911
532.872155937847	0.1265587
537.529342397336	0.13
540.535377358491	0.138
544.049528301887	0.1465
546.547447280799	0.1545
549.511168146504	0.1635
551.416412319645	0.174
552.39019145394	0.184
	0.194
	0.2045
	0.235
	0.259
	0.267
	0.274
	0.282
	0.289
	0.297
	0.337
	0.397
	0.437
	0.477
	0.507
	0.527
	0.547
	0.45
	0.48
	0.5
