"Deformácia"	"Napatie"
0.001190874	190.9389
0.001170866	190.9389
0.001227562	192.4542
0.001234238	194.0862
0.001244242	195.485
0.001260912	196.0096
0.00128093	196.8838
0.001260912	196.8838
0.001227562	197.8747
0.001274263	199.0404
0.00124757	200.206
0.001244242	200.7889
0.001277592	202.5374
0.001317617	204.1694
0.001300938	205.1602
0.001334297	206.0345
0.001354305	207.0836
0.00131428	206.9087
0.001310951	206.967
0.001307613	207.0836
0.001317617	207.5498
0.001270935	207.2001
0.001340954	208.4824
0.001340954	209.2401
0.001344301	209.6481
0.001350977	210.5806
0.001397669	211.8629
0.001340954	211.8046
0.001350977	211.8629
0.001340954	212.3291
0.001360971	212.8537
0.001304276	212.912
0.00138098	213.7862
0.001367647	214.1942
0.001390993	214.7771
0.001384327	215.8262
0.001447689	217.3416
0.001377651	217.8078
0.001397669	218.6238
0.001394321	219.6147
0.001407673	220.8386
0.001387655	221.538
0.001437685	223.2283
0.001451027	224.6271
0.001451027	225.5596
0.001464369	226.259
0.001501057	227.3665
0.001454365	226.8419
0.001431019	226.4339
0.001451027	226.4339
0.001434347	226.667
0.001421015	226.5505
0.001471035	227.483
0.001471035	228.3573
0.001487715	229.3481
0.001487715	230.2807
0.001534416	231.0966
0.001471035	230.4555
0.001481049	230.1641
0.001467707	230.5138
0.001487715	231.4463
0.001437685	232.0292
0.001521065	233.4863
0.001504395	234.1857
0.001537754	235.3514
0.001524403	236.1674
0.001581099	237.9159
0.001544411	238.7901
0.001524403	240.3055
0.001571095	241.9958
0.001554424	243.4529
0.001551077	244.6768
0.001604445	246.8334
0.001617796	248.1156
0.001621124	249.3396
0.001631128	249.7476
0.001657812	250.7967
0.001634466	250.3304
0.001591112	249.8641
0.001634466	249.4561
0.001591112	249.3396
0.001584436	248.7567
0.001621124	249.9807
0.001641142	250.855
0.001637804	251.7875
0.00166115	252.7783
0.001687834	254.5851
0.001664478	255.4594
0.00164447	256.2171
0.001667826	257.0914
0.001667826	257.6742
0.00162779	257.6159
0.001701166	258.8399
0.001687834	259.1896
0.001707842	259.9473
0.001707842	260.297
0.001751205	261.1713
0.001697838	261.113
0.001701166	261.3461
0.001701166	262.1038
0.00171118	262.9781
0.00167782	263.5609
0.001744539	265.3677
0.001747868	266.9997
0.00176121	267.1162
0.001754534	267.4659
0.00181123	268.515
0.001747868	268.6316
0.001757862	269.331
0.00176121	270.0887
0.001774551	270.8464
0.001731188	271.1961
0.001801235	272.8864
0.001804564	274.3435
0.001827909	275.4509
0.001817905	276.0337
0.001874601	277.2577
0.001817905	276.908
0.001817905	277.1994
0.001824581	277.9571
0.001834576	278.7148
0.001797888	278.7731
0.001857931	280.7547
0.001874601	281.7455
0.001861269	282.445
0.001894619	282.9112
0.001907951	284.0186
0.001891272	284.1352
0.001857931	284.1352
0.001884615	284.4849
0.001877949	284.6598
0.001837923	284.8346
0.001907951	286.35
0.001917965	287.2243
0.001917965	287.982
0.001934645	288.7979
0.001967985	290.0219
0.001924641	289.5556
0.001917965	289.5556
0.001921293	289.6139
0.001921293	289.7888
0.001881277	289.4973
0.001944639	290.1967
0.001947977	290.5464
0.001951324	290.9544
0.001961319	291.4207
0.002001345	292.703
0.001957991	292.7613
0.001957991	293.2275
0.001957991	294.2766
0.001974661	295.6755
0.001937973	296.2
0.002004683	297.3074
0.002001345	298.0068
0.002018024	298.7645
0.002018024	299.8719
0.002078049	301.5039
0.002018024	301.8536
0.002028029	302.145
0.002031366	302.4364
0.002034704	302.8444
0.002001345	302.961
0.002064726	304.2432
0.002071383	305.2341
0.002078049	305.9335
0.002084734	306.6329
0.002131416	308.2648
0.0020914	308.6145
0.0020914	309.1974
0.002101395	310.0134
0.002104742	310.6545
0.00207472	310.7711
0.002134754	312.0533
0.002148096	312.6944
0.00214143	312.9859
0.002154762	313.1024
0.002204792	313.8018
0.002138092	313.1607
0.002144768	312.9859
0.00214143	313.0441
0.002154762	313.3356
0.00210807	313.5687
0.002184784	315.9583
0.002188122	317.4737
0.002214796	318.8143
0.002214796	319.6302
0.002254831	320.7376
0.00222481	320.5628
0.002211468	321.0291
0.002231476	321.6119
0.002231476	322.3696
0.002211468	322.4862
0.002264826	323.885
0.002288172	325.1089
0.002284834	325.8666
0.002311527	326.4495
0.002351553	327.7318
0.002311527	328.0232
0.002311527	328.7809
0.002331545	329.5385
0.002338202	330.4128
0.00230818	330.0631
0.002364885	330.7625
0.002381565	331.1705
0.002391569	331.4619
0.002398245	331.9865
0.002451613	333.5602
0.002418243	333.8516
0.002414915	334.6676
0.002434933	335.3087
0.002448265	335.6001
0.002404911	335.1921
0.002478287	336.1247
0.002488291	336.8241
0.002511637	337.7566
0.00252165	338.6892
0.002585022	340.0297
0.002541658	340.3211
0.002558338	340.6708
0.002574999	341.6034
0.002611696	342.4193
0.002568342	342.4776
0.002675068	343.7599
0.002675068	344.4593
0.002718431	344.6342
0.00272176	345.0421
0.002808477	346.033
0.002758448	346.0912
0.002795135	346.3244
0.002798473	346.6158
0.002845165	347.0821
0.002828495	347.3152
0.002925217	348.4809
0.002958567	349.2386
0.002995254	349.7632
0.003025267	349.9963
0.003105308	350.754
0.003081972	349.938
0.003095314	349.5883
0.00313534	349.53
0.00315201	349.53
0.003158676	349.0638
0.003225386	350.5208
0.003292095	351.4534
0.003302099	352.0945
0.003382141	352.7357
0.003435509	353.9596
0.003458855	353.843
0.003468859	353.6099
0.003535568	353.3768
0.003562242	353.4351
0.003575584	352.9105
0.003662311	353.7848
0.003712332	354.6007
0.003765699	355.3001
0.003822395	356.0578
0.003925793	357.515
0.003932459	357.515
0.004002497	357.6898
0.00406254	358.4475
0.004149238	358.8555
0.00416259	358.6806
0.004319345	359.7297
0.004372713	360.2543
0.00447611	360.5457
0.004519464	360.9537
0.004672882	362.2943
0.0046929	362.5857
0.004799625	363.0519
0.004873011	363.2268
0.00498974	363.5765
0.005009749	363.2268
0.005179846	364.3342
0.00525656	364.5673
0.005346606	364.6839
0.005423319	364.8005
0.005550053	365.5582
0.005586741	365.325
0.005650103	365.6164
0.005743496	366.0244
0.005816882	366.2576
0.005863574	365.8496
0.005986969	366.6656
0.006080363	367.4815
0.006150401	367.8895
0.00625046	368.2975
0.006373875	369.2883
0.006397212	368.7638
0.006473925	368.9969
0.006550629	369.3466
0.006644022	370.1626
0.006694043	370.1626
0.006834128	371.27
0.006940863	372.0277
0.007047579	372.4357
0.007137644	372.6688
0.007271054	373.4848
0.007304404	373.0768
0.007387784	373.1934
0.007481167	373.6596
0.007571223	373.8928
0.007617915	373.4848
0.007764666	374.5922
0.007871401	375.4082
0.007971451	375.991
0.008061507	376.2824
0.008198254	377.1567
0.008231604	377.0401
0.008314984	377.0984
0.008411705	377.4481
0.008501761	377.7395
0.008538449	377.5064
0.008695204	378.3224
0.008781922	379.0801
0.008878644	379.4881
0.008958685	379.8378
0.009102099	380.5955
0.009115441	380.5955
0.009222176	380.9452
0.009292214	381.2949
0.00941561	381.8194
0.009455645	381.4114
0.009619067	382.2274
0.00969578	382.9851
0.00981251	383.9177
0.009905903	384.5005
0.01006599	385.433
0.01010267	384.9085
0.01019273	384.9668
0.01030946	385.4913
0.01040952	386.0742
0.01047623	385.6662
0.01063298	387.0067
0.01074971	387.7644
0.01085645	388.3473
0.01097318	388.8135
0.01111993	389.6878
0.0111833	389.5129
0.01127336	389.5712
0.01139009	390.0958
0.01151016	390.6203
0.01158687	390.6786
0.01175029	391.7277
0.0118737	392.194
0.01197709	392.7186
0.01210049	393.418
0.01226725	394.7002
0.01234063	394.8168
0.01247071	395.0499
0.01259077	395.5162
0.01272418	395.9825
0.0128009	395.6328
0.01298767	396.7402
0.01310775	396.7402
0.01320685	397.4396
0.01338995	398.0224
0.01356968	399.0715
0.01379007	399.5961
0.01394604	399.8292
0.01410881	400.3538
0.01431904	401.1115
0.0145191	401.2281
0.01465812	402.044
0.0148887	403.0349
0.01510233	403.7343
0.0152956	404.3171
0.0154821	405.4245
0.01570928	405.7742
0.01587205	405.9491
0.01603481	406.4153
0.01625183	406.9982
0.0164451	407.1147
0.0165875	407.8141
0.01681132	408.9216
0.01702833	409.621
0.01721821	410.0872
0.01740811	411.0781
0.01763867	411.5443
0.01781501	411.7192
0.01798454	412.1855
0.01817782	412.7683
0.0183745	412.9432
0.01852368	413.7592
0.01875427	414.6917
0.01897467	415.4494
0.01917473	415.9739
0.01936462	417.0814
0.0196257	417.4311
0.01978848	417.4893
0.01996479	417.8973
0.02015468	418.5385
0.02035474	418.5967
0.0205141	419.4127
0.0207413	420.5201
0.02097867	421.3944
0.02118549	421.9772
0.02139573	423.0263
0.02166361	423.376
0.02184332	423.4343
0.02202982	423.9006
0.02224005	424.4251
0.02245367	424.4835
0.02262661	425.2411
0.02286057	426.2902
0.02310471	427.0479
0.02334207	427.6308
0.02355231	428.6216
0.02380661	429.0296
0.02398972	429.0296
0.0241864	429.4376
0.02439324	430.0787
0.02461702	430.2536
0.02478996	430.8364
0.0250375	432.002
0.02528165	432.7598
0.02553256	433.2843
0.02575297	434.45
0.02602083	434.9163
0.02622089	434.9745
0.02642436	435.3243
0.02665153	435.9071
0.0268855	436.0237
0.02708217	436.7813
0.02736361	437.8305
0.02762131	438.5882
0.02785529	439.1127
0.02809263	440.1036
0.02836052	440.5116
0.02858093	440.5699
0.02878438	440.9195
0.02901834	441.4442
0.02925909	441.5606
0.02945576	442.3184
0.02974398	443.2509
0.03000847	443.9503
0.03024243	444.4166
0.03047979	445.3492
0.03074768	445.8154
0.03096129	445.8154
0.03117153	446.2817
0.03140549	446.8646
0.03165302	446.9228
0.03187342	447.7388
0.03215148	448.7296
0.03242615	449.3708
0.03268045	449.837
0.03292121	450.8278
0.03320265	451.2358
0.03344001	451.2941
0.03365701	451.6439
0.03393507	452.285
0.03418599	452.285
0.0343996	452.9844
0.03468445	454.0917
0.03497266	454.6746
0.03523376	455.1992
0.03548807	456.19
0.03577968	456.6563
0.03603061	456.7145
0.03629848	457.1226
0.03656296	457.6471
0.03683083	457.7637
0.03706141	458.4048
0.03735303	459.3373
0.03765483	459.9785
0.03792947	460.503
0.03819734	461.3773
0.03850253	461.8436
0.03876023	461.8436
0.03903149	462.1933
0.03930277	462.6596
0.03958082	462.7178
0.03981817	463.3589
0.04011318	464.3498
0.04041835	464.9326
0.0406964	465.4572
0.04097445	466.3897
0.04131694	466.7978
0.04156785	466.6812
0.04182217	467.1474
0.04210361	467.6137
0.04238843	467.672
0.04263258	468.2548
0.04293776	469.2457
0.04325989	469.8285
0.0435447	470.3531
0.04382954	471.3438
0.04419236	471.6935
0.04446024	471.7519
0.04472813	472.1016
0.04502651	472.5678
0.0453283	472.7427
0.04559617	473.209
0.04591491	474.1998
0.0462506	474.8409
0.04656256	475.3072
0.04690164	476.1815
0.04723734	476.706
0.04752895	476.6478
0.04781379	477.0557
0.04812574	477.4637
0.04845126	477.5803
0.04873269	478.0465
0.04907178	479.154
0.04942443	479.7951
0.04979064	480.2031
0.05011277	481.019
0.05047221	481.4853
0.05078416	481.4853
0.05108594	481.7768
0.05141486	482.243
0.05175055	482.3013
0.05205573	482.8841
0.0523982	483.7584
0.05281188	484.3995
0.05314419	484.7492
0.05348328	485.5652
0.05384949	485.9732
0.05417161	485.8566
0.05448017	486.0898
0.05481249	486.5561
0.05514817	486.5561
0.05546013	487.0223
0.05585007	488.0714
0.05622308	488.7126
0.05657233	489.0623
0.05691819	489.8199
0.0572878	490.3445
0.05763028	490.1696
0.05794562	490.4028
0.05828809	490.9273
0.05864752	491.1022
0.05900356	491.4519
0.05939351	492.4428
0.05978345	492.909
0.06014288	493.2587
0.06050571	493.9581
0.06089904	494.4827
0.0612483	494.3661
0.06157721	494.6575
0.06194342	495.0655
0.06236389	495.0655
0.0626928	495.4735
0.06308612	496.4061
0.06348964	497.1055
0.06386942	497.4552
0.0642492	498.1546
0.06465271	498.6208
0.06503588	498.446
0.06538173	498.7374
0.06581915	499.1454
0.06620232	499.0871
0.06656514	499.4368
0.06696186	500.3694
0.06739251	500.894
0.06778923	501.3602
0.06818596	501.9431
0.06860303	502.4676
0.06900654	502.1762
0.06941005	502.4676
0.06981357	502.8173
0.07022046	502.8173
0.07060702	503.2253
0.07103426	504.0995
0.07148864	504.5658
0.07191249	504.9738
0.07233635	505.7898
0.07284497	506.0812
0.07321797	505.9063
0.07366557	506.1396
0.07409958	506.4892
0.07454378	506.5475
0.07495747	506.7807
0.07541184	507.6549
0.07589334	508.0629
0.07634433	508.4126
0.07679531	509.1703
0.07726664	509.5783
0.07777526	509.3452
0.07820251	509.52
0.07866705	509.8114
0.07913838	509.8114
0.07956902	510.1028
0.0800573	510.9771
0.08056931	511.3268
0.08105082	511.6765
0.08158318	512.3759
0.08209858	512.7256
0.0825733	512.3759
0.08303106	512.6091
0.08351935	513.017
0.08403475	512.9587
0.08451964	513.1919
0.08504522	514.0662
0.08560472	514.5324
0.08613029	514.7656
0.08671351	515.4067
0.08726962	515.7564
0.08779181	515.465
0.08829365	515.6398
0.0888294	515.9895
0.08936854	515.9313
0.08988734	516.2227
0.09050109	517.0386
0.09108432	517.4467
0.09164042	517.6797
0.09220668	518.3209
0.09278991	518.6123
0.093346	518.3209
0.09387837	518.554
0.09444465	518.8455
0.09503125	518.9037
0.09559415	519.0203
0.09626553	519.8946
0.09689622	520.186
0.09750658	520.4191
0.09811014	521.002
0.09875101	521.2934
0.09935798	521.002
0.09994459	521.1185
0.1005651	521.3517
0.1011958	521.2351
0.1018062	521.41
0.1025115	522.226
0.1031862	522.5756
0.1038339	522.8088
0.1044748	523.3333
0.1051597	523.683
0.1058175	523.3333
0.1064448	523.3916
0.1071196	523.683
0.1078012	523.5665
0.108537	523.683
0.1092389	524.4407
0.1099781	524.8487
0.1106902	524.9653
0.1114022	525.5482
0.1121482	525.9561
0.1128806	525.4899
0.1135622	525.5482
0.1143658	525.723
0.1150949	525.6064
0.1157798	525.6647
0.1165122	526.5389
0.1173125	526.8304
0.1180992	527.0052
0.1188757	527.4715
0.1196895	527.7047
0.1204965	527.3549
0.1213476	527.3549
0.1221614	527.5881
0.1229684	527.3549
0.1237585	527.4132
0.1245858	528.1126
0.1254539	528.4041
0.1262982	528.5206
0.1271391	529.0452
0.1280106	529.22
0.1288786	528.9286
0.129801	528.8703
0.1306792	529.0452
0.131571	528.8703
0.1324526	528.8703
0.1333647	529.5115
0.1343277	529.8611
0.135267	530.036
0.1362096	530.444
0.1371896	530.6188
0.1382611	530.1526
0.1392004	530.0943
0.1401769	530.1526
0.1411569	530.036
0.1421301	529.9194
0.1431371	530.5605
0.1441985	530.852
0.1452327	530.852
0.146372	531.2599
0.1474435	531.4348
0.1484879	531.0269
0.1495085	530.9103
0.1505868	531.0269
0.1516719	530.7937
0.152757	530.5605
0.153859	531.3765
0.1550424	531.6097
0.1561919	531.5514
0.1574872	531.9594
0.1586943	532.0759
0.1598709	531.6097
0.161034	531.3765
0.1622445	531.4931
0.1634618	531.2017
0.1646758	530.9103
0.1659032	531.5514
0.1673613	531.7263
0.1686464	531.6097
0.1699451	531.9011
0.1712879	532.1342
0.1726273	531.6097
0.1739565	531.4931
0.1753399	531.3765
0.1767438	531.1434
0.1781611	530.9103
0.1795853	531.4348
0.181257	531.4348
0.1827456	531.4348
0.1842409	531.6097
0.1857905	531.7845
0.1873469	531.0851
0.188866	530.852
0.1904563	530.7937
0.1920771	530.3857
0.1937115	530.0943
0.1955629	530.5605
0.1973024	530.6188
0.1990453	530.5605
0.2008153	530.6188
0.2026328	530.7354
0.2044774	529.9777
0.2063051	529.6281
0.2082074	529.3949
0.2101571	528.9286
0.2123205	528.5789
0.2143346	528.9286
0.2164268	528.8703
0.2185223	528.6372
0.2206619	528.5789
0.2228558	528.5206
0.225087	527.7047
0.2273182	527.1801
0.2298884	526.7721
0.2322586	526.1893
0.2346458	525.6647
0.2352188	525.8395
0.2352188	525.6064
0.2352188	525.1401
0.2352188	524.907
0.2352188	524.6156
0.2352188	523.4499
0.2352188	522.7505
0.2352188	522.1094
0.2352188	521.1768
0.2352188	520.3026
0.2352188	520.1277
