"Napatie"	"deformácia"
1.225605	1.19126357142857E-005
1.744131	2.37589285714286E-006
3.252568	1.42968214285714E-005
5.185254	2.38335642857143E-005
8.013575	3.58226142857143E-005
12.53889	5.72802857142857E-005
15.08438	6.92012142857143E-005
18.66692	8.58905E-005
21.87234	9.54272857142857E-005
24.9835	0.000114568857142857
28.99029	0.000131258142857143
33.23277	0.000150331642857143
34.36409	0.000152715857142857
39.07796	0.0001741735
42.70764	0.000195699285714286
45.63024	0.000217156928571429
49.02422	0.0002243095
52.08823	0.000238614642857143
53.92664	0.000255303928571429
58.16912	0.000264840714285714
63.82577	0.000303055785714286
68.39822	0.000319745071428571
72.12217	0.000343586928571429
74.80907	0.000353191785714286
78.95728	0.000384186214285714
82.77551	0.000393723
85.74525	0.000403259714285714
88.29074	0.000427169714285714
92.29752	0.000441474785714286
95.83292	0.000462932428571429
99.88685	0.000479621785714286
103.1866	0.000496311071428572
106.2977	0.0005130685
109.5974	0.000527373571428571
113.6985	0.000555983857142857
118.3181	0.000565520571428571
121.8535	0.000591814714285714
123.1262	0.000598967285714286
126.1431	0.0006013515
129.16	0.000632345857142857
133.591	0.000649035214285714
137.3621	0.000668176785714286
138.9648	0.000675329357142857
143.113	0.000696787
145.8942	0.000703939571428571
150.231	0.000727781428571429
154.8034	0.000763612142857143
157.3489	0.000763612142857143
160.7429	0.00078507
164.7497	0.000801759285714286
167.7665	0.000816064285714286
171.3962	0.000842358571428572
174.9316	0.000851895
178.2313	0.000875737142857143
180.9182	0.00088289
184.2179	0.000909183571428571
188.2719	0.000921105
191.8073	0.000940178571428571
194.7299	0.000956867857142857
197.7939	0.000971172857142857
200.2451	0.000992698571428572
203.8276	0.000999851428571429
208.7772	0.00104038214285714
212.3597	0.00104276642857143
216.2722	0.00106906071428571
219.4305	0.00108336571428571
221.8346	0.00109767071428571
226.1714	0.00111912857142857
228.764	0.00113343357142857
232.2051	0.00114780714285714
236.4005	0.00117641714285714
239.0874	0.00118118571428571
241.2557	0.00120502714285714
244.3669	0.00120741142857143
247.1952	0.00123609
250.4006	0.00124324214285714
254.8788	0.00127185285714286
258.1785	0.00129331
260.9126	0.00130053071428571
263.6938	0.00132437285714286
267.6063	0.00133629357142857
271.4245	0.00136967214285714
275.2427	0.00137927714285714
277.364	0.00138643
281.2765	0.00141980857142857
284.1048	0.00142696071428571
287.0745	0.00145080285714286
289.29	0.00146517571428571
291.0813	0.00147232857142857
296.2666	0.00151047571428571
299.4249	0.00151524428571429
302.1589	0.00154392214285714
304.2802	0.001551075
307.1556	0.00157730071428571
309.3711	0.00158683785714286
311.9637	0.00160352714285714
316.1591	0.00162743714285714
319.2702	0.00165366285714286
322.5228	0.00167512071428571
326.0111	0.00170856714285714
330.7721	0.00172764071428571
332.6576	0.00174909857142857
333.3176	0.00176340357142857
334.826	0.00177777714285714
339.1628	0.00181115571428571
342.2739	0.00184215
344.348	0.00186606
346.7521	0.00189467
348.3077	0.00192089642857143
351.9845	0.00195672714285714
354.86	0.002006795
357.6883	0.00205216285714286
360.1395	0.00211660357142857
363.0149	0.00218581357142857
363.8163	0.00225263857142857
363.7692	0.00230509071428571
364.382	0.00232654857142857
365.6076	0.00232178
368.483	0.00235045857142857
371.4056	0.00238145285714286
374.3282	0.00242205214285714
376.4495	0.00248404071428571
378.1936	0.00261292285714286
379.0892	0.00282293571428571
379.702	0.00320474642857143
379.1835	0.00372252357142857
377.8636	0.00419500071428571
377.3451	0.00530460071428571
379.1835	0.00690575142857143
381.0219	0.00858571428571429
385.6415	0.0102130928571429
393.3723	0.0113250785714286
397.9447	0.0122222785714286
401.7158	0.0129166928571429
405.3926	0.0135705071428571
408.7394	0.0142076285714286
411.992	0.0147827642857143
415.1032	0.0153435214285714
417.8843	0.0158779857142857
420.5713	0.0163886785714286
423.871	0.0169279857142857
426.7464	0.0174839785714286
428.632	0.0180065214285714
431.7431	0.0185219785714286
434.0058	0.0190230714285714
436.5041	0.0195289928571429
438.7196	0.0200300785714286
441.1237	0.0205073285714286
444.0463	0.0210131857142857
446.3561	0.0215310285714286
448.6659	0.0220488071428571
450.8814	0.0225547285714286
452.9084	0.0230653571428571
454.8882	0.0235378285714286
456.868	0.024027
458.9893	0.0244804
460.9691	0.0249433428571429
462.9489	0.0254182071428571
465.1644	0.0258906857142857
467.5214	0.0264036928571429
468.9827	0.0268833214285714
471.2925	0.0273820928571429
472.8952	0.0278760285714286
475.0636	0.0283771142857143
476.7134	0.0288806571428571
478.2219	0.0293506857142857
480.2017	0.0298088571428571
481.7573	0.0302861
483.6899	0.0307371214285714
485.3398	0.0312310571428571
487.6024	0.0317441357142857
489.1109	0.0322452214285714
490.9022	0.03276545
492.7877	0.0332689214285714
494.7204	0.0338058428571429
496.2288	0.0343307714285714
497.7844	0.034851
499.0572	0.0353520857142857
500.7542	0.0358531714285714
502.7811	0.0363567142857143
504.3838	0.0369127071428571
505.6094	0.0374304857142857
506.6465	0.0379077285714286
508.9091	0.0384470357142857
510.3233	0.03898395
511.3604	0.0395113357142857
512.9159	0.0400291071428571
514.8486	0.0405851
516.1213	0.0411697714285714
517.1113	0.0416780142857143
518.4783	0.0422006285714286
520.081	0.0427374785714286
521.2123	0.0432767785714286
522.6736	0.0438089285714286
524.0406	0.0443744571428571
525.5963	0.0449566785714286
526.5861	0.0455389642857143
527.8589	0.0460949571428571
529.0845	0.0466604857142857
530.4515	0.0472593928571429
531.5357	0.04782015
532.7613	0.0484167428571429
533.8455	0.0489989642857143
534.7411	0.04958125
535.9196	0.0501300857142857
