"epsilon"	"Sigma"
0.00062762371	149.9707827926
0.00064150325	150.66663699244
0.00062942625	151.34124004777
0.00063813851	151.99008494228
0.00063899973	152.66443650478
0.00064350607	153.34729249602
0.00064248463	154.01389410828
0.00064983498	154.67099193869
0.00065221834	155.32659404857
0.00065233851	156.00469814889
0.00065954866	156.64554160032
0.00066405501	157.29339375995
0.00067162567	157.94399248607
0.00066846121	158.58109001791
0.00067014358	159.21818754976
0.00066515656	159.87903791799
0.00067865556	160.48287883161
0.00067963695	161.13797795581
0.00067362849	161.75332135748
0.0006826612	162.35266187301
0.00067919632	162.97250567277
0.00068430352	163.55609479498
0.00068454385	164.19544252588
0.00068736783	164.81153378782
0.0007026894	165.43763181728
0.00069187418	166.03846805334
0.00068544512	166.66556543591
0.00070238898	167.26240425955
0.00070427163	167.85974606887
0.00070485245	168.47708817675
0.00071200252	169.0479305832
0.00070685527	169.65302234275
0.00071700957	170.25486455016
0.00072277769	170.87920874801
0.00072133566	171.45879383957
0.00071700957	172.06238326035
0.00072972747	172.65097576632
0.0007352152	173.22431324642
0.00072528121	173.79414968153
0.00073153001	174.38898979896
0.00072666316	174.96607981688
0.00073701774	175.48415505573
0.00073657712	176.10200014928
0.00074102338	176.66658832604
0.00074332662	177.20391600318
0.00074843381	177.76150208997
0.00074851393	178.32158986863
0.00075167838	178.87691913814
0.00075808741	179.42675527468
0.00075436216	179.98859026672
0.00075530349	180.5316691879
0.00076243352	181.04800383161
0.00077459064	181.61458409634
0.00076481688	182.13541913814
0.00076898275	182.69450094546
0.00076878246	183.22358230494
0.00078278218	183.76016212182
0.00078440446	184.29074582006
0.00077823577	184.82682265127
0.00077831589	185.36290610072
0.00078824987	185.87023333002
0.00078650742	186.41156503782
0.00078764903	186.93189709395
0.00078654748	187.46222268113
0.000798284	187.97905369228
0.00079111391	188.51213246417
0.00079193506	189.01296058917
0.00079824395	189.54229344148
0.00080483322	190.02386250995
0.00080118809	190.54869496417
0.0008043926	191.0617734375
0.00080823802	191.60560683718
0.00080831813	192.11118023487
0.0008102809	192.6105060211
0.0008137658	193.13083807723
0.00081510769	193.6719182922
0.00082255818	194.16474497412
0.00081879288	194.69707588575
0.00082039514	195.21440326433
0.00081981432	195.72398069268
0.00083357369	196.22830986266
0.00083541629	196.78588933121
0.00082620331	197.29346805334
0.00083605719	197.83205319467
0.000844449	198.31162355693
0.00084354774	198.83845471736
0.00084452912	199.35977950836
0.0008425263	199.90036335589
0.00085205972	200.39968914212
0.00084322728	200.89451453025
0.0008452301	201.4178446457
0.00084719287	201.94467580613
0.00085492375	202.41049348129
0.00084911558	202.92657663217
0.00085456325	203.4279011246
0.00085971049	203.93247516919
0.00086053165	204.4288028961
0.00086483771	204.94288072253
0.00086547861	205.48421243033
0.0008695844	205.96253856489
0.00088072008	206.44911101712
0.00087649412	206.95768909236
0.0008741308	207.47226328623
0.00087547269	207.94658539013
0.00087817649	208.46016684912
0.00088668848	208.96374154061
0.00087162727	209.49157205414
0.00087915788	209.95613888336
0.00089005322	210.46071954618
0.00089343798	210.95954234674
0.00088562698	211.47212445263
0.00088861119	211.98469994029
0.00090551499	212.48827463177
0.00089606168	212.99410614053
0.00089740357	213.51143351911
0.00089744362	214.02101094745
0.00090895984	214.5253334992
0.00090453361	215.02266057922
0.00090072825	215.55473999801
0.00090693699	216.03106742635
0.00091562923	216.57940122412
0.00091697112	217.07772103901
0.00091657055	217.59404906449
0.00091729157	218.12913316083
0.00092532288	218.63446168392
0.00092115701	219.17879145104
0.00092269918	219.69087057126
0.00092486223	220.22545168193
0.00093603796	220.7810390625
0.0009326532	221.29161584395
0.00092504248	221.84445003981
0.00093615813	222.40928309116
0.0009442295	222.93311619228
0.00094172597	223.46444113256
0.00094176603	224.00227841361
0.00094595192	224.53010892715
0.00095376292	225.1269477508
0.0009592907	225.6810327926
0.00094665291	226.21236435111
0.00096059254	226.78895138336
0.00096321623	227.34703383758
0.00096137364	227.92037131768
0.00095794882	228.50196173368
0.00096924472	229.06904498408
0.00097353075	229.60887435311
0.00096808308	230.18321118631
0.0009678828	230.75055254777
0.00097395135	231.36264639729
0.00098216291	231.95848586783
0.00098536742	232.54857409435
0.00097603428	233.15891411226
0.00098372511	233.78376129578
0.00099391946	234.36535171178
0.00099055472	234.95444058519
0.00099624273	235.55902935908
0.00099293808	236.17387639331
0.00099944725	236.8262223328
0.0010058162	237.43856767516
0.0010058162	238.06491057922
0.0010066774	238.70000940486
0.0010133468	239.31335410032
0.0010165113	239.9444488953
0.0010165914	240.59479612858
0.0010192151	241.25964390924
0.0010197358	241.87899134156
0.0010236213	242.53959021696
0.0010274266	243.19218764928
0.0010322735	243.87479214769
0.001034096	244.52064560111
0.0010378613	245.15898736067
0.0010335753	245.82458961982
0.0010398441	246.48694232683
0.0010477753	247.1225375199
0.0010488368	247.76888734076
0.0010487967	248.42398646497
0.0010520413	249.06083250398
0.0010551457	249.67692376592
0.0010561671	250.30552348726
0.0010575491	250.93661828225
0.0010558467	251.59772014331
0.0010671826	252.22230921576
0.0010688049	252.83940644904
0.0010704072	253.47150059713
0.001073111	254.09134439689
0.0010768763	254.70468909236
0.0010728706	255.31378488256
0.0010819434	255.94437669188
0.001083105	256.57797317874
0.0010960232	257.21307200438
0.0010851479	257.7976604797
0.0010945612	258.45626064889
0.0011022921	259.08785181131
0.0011024122	259.69444590963
0.0010989273	260.30554040605
0.0011008901	260.94838918193
0.0011053163	261.55898069268
0.0011119857	262.19332503981
0.0011166523	262.78191754578
0.0011129671	263.39826030056
0.0011149298	264.00435141322
0.0011252844	264.63569770104
0.001119316	265.23378737062
0.0011193561	265.83662893113
0.0011277078	266.45447402468
0.0011330754	267.01806284833
0.0011383428	267.63490197054
0.0011338365	268.26049701433
0.0011343372	268.87458957006
0.0011366604	269.49393700239
0.0011466545	270.06027239252
0.0011423084	270.66936156449
0.0011488176	271.26620700637
0.0011601535	271.88179528264
0.0011541851	272.46238634554
0.0011523425	273.01847009355
0.0011570091	273.6290616043
0.0011660618	274.21215435908
0.0011694867	274.78649119228
0.0011653208	275.39683121019
0.0011751747	275.93691207205
0.001179641	276.52600094546
0.0011769372	277.10409031648
0.0011721504	277.69743471338
0.0011780788	278.2437631867
0.0011825451	278.8033479797
0.0011835665	279.37093421576
0.0011808627	279.92601861067
0.0011894948	280.47485539411
0.0011978065	281.03244148089
0.0012021126	281.56902129777
0.0011892144	282.12460206011
0.0011963845	282.68568919188
0.0012056376	283.21301671975
0.0012032943	283.7721051453
0.0012060381	284.32768590764
0.0012111053	284.82551597333
0.0012136889	285.38159972134
0.0012123871	285.91193192675
0.0012141095	286.46651333599
0.0012129078	286.98358922174
0.0012224412	287.52842197452
0.0012265871	288.05600761346
0.0012220006	288.5730834992
0.0012225013	289.11291286823
0.0012306328	289.6207430832
0.0012348988	290.12531712779
0.0012348187	290.68190386146
0.0012262666	291.18122964769
0.0012404666	291.69481110669
0.0012409873	292.18962987659
0.001242169	292.70371432126
0.0012451332	293.22804378981
0.0012508612	293.73412017317
0.0012533447	294.24969372014
0.0012487182	294.74901950637
0.0012494993	295.28360061704
0.001254947	295.78818127986
0.0012636993	296.29100811107
0.0012614962	296.80983782842
0.0012662028	297.31016296775
0.0012664432	297.81649084395
0.001269147	298.34356687898
0.0012712299	298.86989505374
0.0012736133	299.39073009554
0.0012763972	299.85429757166
0.0012774987	300.36237266123
0.0012786404	300.87945516521
0.0012773385	301.39328149881
0.0012878934	301.89810703623
0.0012959647	302.38567884156
0.0012870722	302.88100721537
0.0012901766	303.39358270303
0.0012929205	303.89640953424
0.0012983681	304.35347790605
0.0012930807	304.85580836982
0.0012987286	305.36338709196
0.0012989089	305.86896048965
0.0013036556	306.35353423567
0.0013104852	306.83885584196
0.0013050375	307.33018018511
0.001317435	307.82375472731
0.0013169142	308.30933444467
0.0013168742	308.81240615048
0.0013146911	309.25247228304
0.0013223219	309.77430667795
0.0013250056	310.21586853105
0.0013201788	310.71419496417
0.0013223619	311.21252139729
0.0013295921	311.69034454618
0.0013325362	312.14991460987
0.0013233032	312.62023930135
0.0013336178	313.0970564789
0.0013345991	313.59588589769
0.0013398666	314.09020830016
0.0013322959	314.53327911027
0.0013340984	315.01785285629
0.0013513628	315.50342595541
0.0013476375	315.98799970143
0.001344413	316.46281817277
0.00134944	316.9023879379
0.0013549678	317.37471133559
0.0013592338	317.86178015525
0.0013483385	318.32585061704
0.0013608161	318.78392496019
0.001357191	319.23524208798
0.0013620178	319.71406458997
0.0013648017	320.16713554936
0.0013608962	320.66795705613
0.0013689675	321.09327114849
0.0013787413	321.56234499403
0.0013719918	322.01991635151
0.001369328	322.53299482484
0.0013778	322.98956021099
0.0013824265	323.46638400677
0.0013776397	323.93920377189
0.0013791218	324.43177896099
0.0013881546	324.89710026871
0.0013910186	325.39642605494
0.0013866124	325.8702517914
0.0013908183	326.34706896895
0.0013911588	326.8519011246
0.001392701	327.34972457205
0.0013901774	327.84754801951
0.0013930014	328.31736972532
0.001404117	328.80644386943
0.0014030956	329.31602129777
0.0014056392	329.8290997711
0.001398389	330.32842555732
0.0014102657	330.82725497611
0.0014124688	331.30332429339
0.0014115275	331.79189545183
0.0014159136	332.32022895104
0.0014237647	332.83230807126
0.0014219221	333.35063480295
0.0014214815	333.88771760549
0.0014216417	334.41579961186
0.001428231	334.96237957803
0.0014280307	335.49971387341
0.0014323167	336.03379199841
0.0014344197	336.5391205215
0.0014330177	337.04044501393
0.0014430118	337.60278299164
0.0014371035	338.16686818272
0.0014347802	338.70495033838
0.0014501619	339.22477940884
0.0014483193	339.73785788217
0.0014529057	340.28893824642
0.001445996	340.85652448248
0.0014554894	341.3813569367
0.0014603562	341.90643426553
0.001451684	342.43876517715
0.0014647023	343.0363584793
0.0014652631	343.53193172771
0.0014713317	344.06451413217
0.0014689884	344.60934688495
0.0014707509	345.15817705016
0.0014728738	345.70400915605
0.0014741156	346.22484419785
0.0014786019	346.74342242237
0.0014769396	347.30525741441
0.001482908	347.87284365048
0.0014852913	348.39942331807
0.0014820067	348.95075517516
0.0014869937	349.51709056529
0.0014915401	350.04842212381
0.0014956058	350.56925054737
0.0014978891	351.14783628583
0.001494985	351.69967112858
0.0015041979	352.24450388137
0.0015066414	352.80909205812
0.0015028761	353.37742615446
0.001513471	353.9537683121
0.0015151934	354.50535166202
0.0015151133	355.08318954021
0.0015133909	355.62201955613
0.0015166355	356.20811037022
0.0015258484	356.76568983877
0.0015200603	357.33477841361
0.0015251074	357.91636882962
0.0015264092	358.47245257763
0.0015300944	359.06479100318
0.0015358225	359.62687748806
0.0015313562	360.20546322651
0.0015360628	360.76805269705
0.0015431127	361.33538744029
0.0015442143	361.90497238256
0.0015396278	362.47856135549
0.0015465576	363.04614759156
0.0015519852	363.6072281051
0.0015538679	364.19357041202
0.0015554701	364.75865495621
0.0015602569	365.3234946258
0.0015600165	365.90282822452
0.0015637017	366.45991794387
0.001564603	366.98874781051
0.0015653841	367.5668305633
0.0015718933	368.14366908838
0.0015693497	368.69475607086
0.0015728746	369.26809355096
0.0015742966	369.81392565685
0.0015808058	370.36525751393
0.0015762594	370.95659658639
0.0015805655	371.50843142914
0.0015860532	372.06651388336
0.0015864137	372.61484768113
0.0015988512	373.1694357086
0.0015904594	373.73776980494
0.001599432	374.29560738455
0.0016007339	374.84668774881
0.0016023361	375.35876686903
0.0015991717	375.94985444865
0.0015996724	376.49943909236
0.0016049999	377.04152527866
0.0016105677	377.57310171178
0.0016056007	378.14293814689
0.0016081844	378.68927323846
0.0016218636	379.22485370223
0.0016158351	379.76643690287
0.0016205818	380.29026338575
0.0016233257	380.85710176154
0.0016259494	381.41018745024
0.0016345415	381.94051303742
0.0016279923	382.49960146298
0.0016293542	383.04743227508
0.0016355629	383.58626890924
0.0016333999	384.08384086385
0.0016430935	384.64242630374
0.0016400693	385.16950895701
0.001642032	385.716340416
0.0016522264	386.23091460987
0.0016406501	386.77274930334
0.0016507843	387.30057981688
0.0016555711	387.82441291799
0.0016615195	388.40599671576
0.0016488216	388.94257653264
0.0016592563	389.4879122711
0.0016673276	390.02799313296
0.0016676881	390.5640765824
0.0016626611	391.09265495621
0.0016687897	391.61698442476
0.0016769812	392.12206145502
0.0016694106	392.70189803941
0.0016717939	393.21923203623
0.0016785835	393.78181488854
0.0016850927	394.27364221736
0.0016825491	394.80096974522
0.0016747781	395.32230115446
0.0016924029	395.85537992635
0.0016850526	396.37195944467
0.0016920825	396.90654055533
0.0016914616	397.41611798368
0.0016874159	397.95469650677
0.0016961282	398.47902597532
0.0017055414	399.01111201234
0.0016973699	399.5374401871
0.0017033383	400.03901617237
0.0017050207	400.53359006768
0.0017172179	401.06917053145
0.0017082052	401.57274522293
0.0017082853	402.07657802548
0.0017210633	402.56364684514
0.0017195412	403.09223183718
0.001722245	403.60030692675
0.0017205626	404.10513246417
0.0017230261	404.60496123607
0.0017280131	405.13804000796
0.001731498	405.61386445064
0.0017301561	406.13168819666
0.0017324393	406.66526995422
0.0017387883	407.13634250597
0.0017380472	407.66242580613
0.001736445	408.18725164212
0.001744997	408.69357951831
0.0017465993	409.20790883758
0.0017504447	409.68272730892
0.0017499239	410.18255608081
