"Napatie"	"Deformacia"
-0.1214253	-0.003133608
0.03035881	-0.003114639
-0.06071265	-0.003133608
0.3035632	-0.003117835
0.51606	-0.003127216
1.335683	-0.003111546
2.246373	-0.003120928
4.735597	-0.003095773
8.955138	-0.003083196
18.12277	-0.003026598
26.22793	-0.002995155
33.72596	-0.002944742
39.82761	-0.002929072
45.29175	-0.002888144
49.7845	-0.002878763
53.8219	-0.002844124
57.19146	-0.002840928
60.40924	-0.002809484
63.05025	-0.00281268
65.69125	-0.00278433
67.93763	-0.002787526
70.30543	-0.002762268
72.30895	-0.002765464
74.55533	-0.002737114
76.43742	-0.002743402
78.6838	-0.002718247
81.17302	-0.002718247
85.5747	-0.002683608
90.43172	-0.002671031
95.77445	-0.00262701
100.419	-0.002620721
104.7599	-0.00258299
108.4634	-0.002573505
112.0455	-0.002538969
115.0508	-0.002538969
118.0561	-0.002510618
120.5756	-0.002510618
123.7023	-0.002482268
127.3755	-0.002472887
131.8682	-0.002444536
135.7842	-0.002428866
139.8823	-0.002394227
143.3429	-0.002387938
146.925	-0.002356495
149.8999	-0.002356495
153.3909	-0.002321856
156.639	-0.00231866
160.6764	-0.002284124
164.1371	-0.002280928
167.962	-0.002243196
171.7869	-0.002236907
175.8546	-0.002199175
179.4367	-0.002195979
182.958	-0.002161443
186.3276	-0.002158247
189.6668	-0.002126804
192.581	-0.002123608
196.2542	-0.002085876
199.5934	-0.002085876
203.57	-0.002048144
207.2432	-0.002041856
211.0377	-0.002004124
214.2858	-0.002000928
217.6858	-0.001966289
220.6607	-0.001966289
224.4552	-0.001931753
228.4319	-0.001925464
232.3783	-0.001887732
235.6568	-0.001884536
239.0567	-0.001846804
242.062	-0.001846804
245.0672	-0.001815361
247.7993	-0.001815361
250.9564	-0.001780722
254.3867	-0.001777526
257.9991	-0.00174299
261.2169	-0.001736701
264.9507	-0.001705258
268.047	-0.001698866
271.4773	-0.001667423
274.2701	-0.001667423
277.245	-0.001629691
280.3717	-0.001629691
284.1967	-0.001595052
287.3234	-0.001591959
290.6626	-0.00155732
293.6982	-0.001551031
297.3713	-0.001516392
300.8016	-0.001513299
304.3533	-0.00147866
307.5103	-0.001472371
310.6978	-0.001444124
313.3084	-0.001444124
315.828	-0.001409485
318.2262	-0.001412577
320.8065	-0.001374845
323.3867	-0.001378041
327.0902	-0.001337113
330.8848	-0.001333917
334.9222	-0.001296186
337.8364	-0.001289897
340.6899	-0.001258454
342.8148	-0.001261649
345.213	-0.00122701
347.338	-0.00122701
349.9486	-0.001189278
352.0735	-0.001186082
354.5324	-0.001148351
356.0199	-0.001151443
356.9913	-0.001107423
357.993	-0.001066495
360.7859	-0.0009029897
363.8518	-0.0006103092
367.7982	-0.001060206
371.0767	-0.0003114433
373.8998	0.0003932989
375.3569	0.001620309
376.4801	0.0003775258
376.9051	0.0005443299
378.4533	0.001050825
378.9693	0.000968969
377.3301	0.001374845
380.9425	0.001069691
388.1066	0.0014
394.1475	1.57732E-005
399.8242	0.0007519588
404.2562	0.0002548454
408.5365	0.0006921649
411.9364	0.00119866
415.1542	0.0009752578
417.947	0.001456701
420.9219	0.001966289
423.4111	0.001875052
425.9914	0.00233134
428.2378	0.0006858763
430.727	0.001201856
432.7002	0.001642268
435.0376	0.002104742
436.9197	0.002463402
439.1054	0.001815361
440.8053	0.002208557
442.8696	0.002636495
444.4785	0.003029691
446.482	0.003476495
448.2426	0.003847732
450.3069	0.0001636082
451.8854	0.0005159794
453.8586	0.0009658763
455.7407	0.001293093
457.8353	0.001632886
459.6566	0.001975773
461.7209	0.002391031
463.3298	0.002752887
465.2726	0.001340206
466.7297	0.0009721649
468.7939	0.001447216
470.3117	0.001875052
472.1635	0.002324949
473.6813	0.002598763
475.6848	0.002866186
477.1723	0.003256289
479.1758	0.00370299
480.6936	0.004099381
482.6364	0.004486392
484.0936	0.001274227
486.006	0.001761856
487.4631	0.002076495
489.2845	0.002369072
490.772	0.0001070103
492.4719	0.0006449484
493.838	0.001148351
495.5076	0.001651753
496.8432	0.002079588
498.695	0.002262062
499.9699	0.002765464
501.6699	0.003312886
502.7931	0.003671546
504.2805	0.002667938
505.4037	0.003139897
506.9216	0.003681031
507.984	0.004134021
509.3804	0.004536701
510.3822	0.001846804
511.7786	0.002334433
512.75	0.00258299
514.025	0.002158247
514.6928	0.001922268
515.8464	0.002167732
516.757	0.002482268
517.9106	0.002724536
518.6392	0.003061237
519.8231	0.003095773
520.5212	0.003199588
521.7051	0.003495361
522.4944	0.003787938
523.5265	0.002469691
524.1943	0.002734021
525.2568	0.003136701
526.1068	0.003404124
527.321	0.003325464
528.2014	0.003706186
529.2943	0.003961031
530.0228	0.003511134
531.0245	0.003334949
531.662	0.003649484
532.6031	0.002734021
533.2405	0.003152474
534.1512	0.003586598
534.5762	0.003961031
535.3351	0.004335361
535.7298	0.002516907
536.4584	0.00290701
536.6708	0.002419382
537.3387	0.002696289
537.6423	0.002903918
538.3708	0.003105258
538.644	0.00202299
539.2512	0.002214846
539.6458	0.002428866
540.2529	0.002510618
540.5868	0.002734021
541.285	0.003076907
541.5886	0.00338835
542.135	0.003693608
542.2868	0.003961031
542.9546	0.003863505
543.1974	0.003725051
543.5314	0.003847732
543.5921	0.003633814
543.9564	0.003916907
543.8653	0.002457113
544.2296	0.002019794
544.1992	0.002255773
544.4724	0.002523196
544.5939	0.002734021
544.8671	0.002966804
544.8367	0.003035979
545.3224	0.003237423
545.5046	0.003419897
545.8081	0.003640103
545.9296	0.003835154
546.3849	0.004071134
546.5367	0.004278763
546.8706	0.004517835
546.9617	0.004712887
547.3259	0.002494845
547.5385	0.00270567
547.842	0.002966804
547.9027	0.003190206
548.0848	0.003435567
547.9938	0.003630618
548.1759	0.00385402
548.0848	0.004030206
548.1456	0.004237835
547.933	0.004149794
548.0545	0.002479175
547.7813	0.002507526
547.8724	0.00239732
547.5991	0.002469691
547.5991	0.002595567
547.2349	0.00267732
547.2652	0.002790619
547.0831	0.002869278
547.2652	0.002982577
547.1741	0.00306433
547.5385	0.003183917
547.5688	0.003271959
548.0241	0.003401031
548.1456	0.003495361
548.8134	0.003636907
549.1777	0.00374701
549.9063	0.00390433
550.2402	0.004033402
550.6955	0.004200103
550.9384	0.004332268
551.2723	0.004492681
551.2115	0.001802784
551.2723	0.001975773
550.9991	0.00211732
551.1508	0.002277835
550.8776	0.002409897
550.8473	0.002576701
550.6044	0.002686804
550.6652	0.002822062
550.4526	0.002919588
550.3919	0.003042268
550.2705	0.003117835
550.3008	0.003215361
550.058	0.003262577
550.1187	0.003341237
550.2402	0.001308763
550.5437	0.001359175
550.5134	0.001466082
550.5741	0.001598247
550.4526	0.001670619
550.5134	0.001783814
550.2402	0.001853093
550.2402	0.001966289
549.9669	0.002032371
549.6937	0.002126804
549.3295	0.002170825
549.1473	0.002240103
548.8134	0.002262062
548.8741	0.00231866
548.692	0.002258969
548.783	0.001812165
548.6313	0.001768144
548.5402	0.001834227
548.1152	0.001856186
547.9634	0.001915979
547.8116	0.001941134
547.8116	0.002004124
547.3867	0.00202299
547.2956	0.002076495
546.7491	0.002085876
546.5367	0.002136186
545.9902	0.002142474
545.8081	0.002183402
545.3224	0.002189691
545.1099	0.002227423
544.7457	0.002227423
544.351	0.002262062
543.6528	0.002258969
543.3492	0.002287216
542.8029	0.002280928
542.2261	0.002306082
541.3761	0.002296701
540.9814	0.00231866
540.2833	0.002306082
539.7368	0.002324949
539.0386	0.002309278
538.4012	0.002324949
537.369	0.002306082
536.6708	0.002321856
535.3351	0.002299794
534.3941	0.002312371
533.4834	0.002287216
532.2388	0.002299794
530.721	0.002274639
529.9621	0.002290412
529.1425	0.002268351
528.4443	0.002280928
527.0479	0.002255773
525.955	0.002265258
524.0426	0.002240103
522.6462	0.002249484
521.007	0.00222433
519.5498	0.002230619
517.4553	0.002199175
515.907	0.002208557
513.9642	0.002177113
511.9	0.002183402
510.1393	0.002155154
508.4394	0.002164536
506.4055	0.002136186
504.3109	0.002139381
502.2467	0.002111031
500.4253	0.00211732
498.3307	0.002085876
496.2665	0.002092165
493.3523	0.002060722
491.2273	0.002060722
489.3148	0.002029278
486.9167	0.002035567
483.9418	0.001997835
481.6347	0.002004124
479.6312	0.001975773
477.1116	0.001975773
474.8348	0.00194433
472.7099	0.00194433
470.1296	0.001912887
467.8832	0.001915979
465.2119	0.001884536
462.6012	0.001884536
459.8084	0.001846804
457.5924	0.001849897
455.1335	0.001818454
451.9765	0.001818454
449.3051	0.001780722
446.573	0.001777526
444.0535	0.001746083
441.716	0.001749278
439.4089	0.001717835
436.0697	0.001714639
431.9716	0.001670619
430.0591	0.001667423
427.6306	0.001639175
424.2307	0.001629691
421.8933	0.00160134
419.0398	0.001598247
415.8524	0.001560515
412.6953	0.00155732
409.9936	0.001522783
407.1704	0.001522783
403.983	0.001484948
401.0081	0.00147866
397.6385	0.001440928
395.7564	0.001444124
392.994	0.001409485
389.7458	0.001396907
386.3156	0.001359175
383.796	0.001359175
380.2443	0.00132134
377.0872	0.001315052
374.2337	0.001280515
370.6213	0.001271031
367.3428	0.00122701
364.0947	0.001223814
361.3019	0.001192371
358.0841	0.00118299
353.8342	0.001138866
351.2843	0.001135773
348.6433	0.001098041
345.1523	0.001094845
341.4792	0.001050825
338.3828	0.00104134
334.7097	0.001006804
331.4919	0.0009973196
328.6081	0.0009626804
325.967	0.0009626804
322.385	0.000915567
318.1958	0.0009029897
314.4923	0.000858866
311.7906	0.0008557732
308.2693	0.0008180412
304.6265	0.0008117526
300.7712	0.0007676288
297.7052	0.0007582474
294.5785	0.0007236082
291.209	0.000711031
288.4465	0.0006795876
285.077	0.0006701031
281.3431	0.0006260825
277.5486	0.0006165979
273.6933	0.0005725773
270.2934	0.0005631958
266.8328	0.0005253609
263.8578	0.0005159794
260.0937	0.0004750516
255.2063	0.0004561855
251.7457	0.0004184536
248.3154	0.0004026804
245.1583	0.0003681443
241.8191	0.0003586598
238.6924	0.0003209278
235.5353	0.0003083505
231.589	0.0002706186
228.1587	0.0002579381
224.3035	0.0002139175
220.6	0.0002045361
216.6536	0.0001573196
213.2537	0.000147835
209.611	0.0001070103
206.2718	9.752577E-005
202.8111	5.659794E-005
199.5326	4.721649E-005
195.3434	-3.195876E-006
190.8811	-1.57732E-005
187.4811	-5.979381E-005
183.4437	-7.546392E-005
179.4367	-0.0001163917
176.0368	-0.0001289691
173.0011	-0.000166701
169.5709	-0.0001824742
165.6245	-0.0002234021
161.7389	-0.0002359794
157.6408	-0.0002831959
153.998	-0.000298866
150.6892	-0.0003397938
146.9857	-0.0003523711
142.8572	-0.0003963918
139.1537	-0.0004184536
135.1467	-0.0004593814
131.2307	-0.0004750516
127.4058	-0.000522268
124.2184	-0.0005316494
120.6363	-0.0005725773
116.69	-0.0005883505
112.683	-0.000635567
107.7349	-0.0006575258
104.3653	-0.0006984536
100.4797	-0.0007173195
96.95835	-0.0007613402
93.28522	-0.0007771134
89.73353	-0.0008148453
86.45503	-0.0008306185
82.99441	-0.0008714433
78.50166	-0.0008935051
73.79641	-0.0009438144
70.06258	-0.0009563917
66.32874	-0.001000515
62.62526	-0.001022474
59.01285	-0.001063402
55.58257	-0.001082268
