"Napatie"	"Deformacia"
11.1	5E-005
24.4	0.00012
39.6	0.0002
53	0.00025
65.5	0.00035
80.2	0.0004
94.5	0.0005
99.1	0.00052
112	0.0006
126.8	0.0007
143.4	0.0008
159	0.00095
169.2	0.001
179.3	0.0011
192.7	0.00126
207.9	0.00145
220.8	0.00162
234.6	0.00195
247.5	0.0026
254.9	0.00415
270.1	0.00612
283	0.0075
296.4	0.0088
309.8	0.01012
324	0.01155
336	0.01262
345.7	0.01415
360.5	0.01577
373.8	0.0173
386.3	0.0189
398.7	0.02062
411.6	0.02255
425	0.02455
437.4	0.02665
450.8	0.02912
464.6	0.03165
476.6	0.0344
489.5	0.03742
502	0.04085
