"sigma"	"eps [%]"
1.00240790207006	3.14699792931096E-007
7.10935051751592	3.38799171842269E-005
13.4817470143312	6.93084886127929E-005
16.5822181528662	8.2981366459605E-005
17.716976910828	9.04430641821631E-005
18.7765364251592	9.32339544513292E-005
19.737584593949	9.78964803312431E-005
20.9663435509554	0.000107221532091072
23.6261445063694	0.000123072463768084
26.9213833598726	0.000134575569358173
30.2121078821656	0.000156016563146996
33.3185947452229	0.000170931677018635
36.2603960987261	0.000183677018633492
38.9322292993631	0.000198906832298121
41.5123208598726	0.000206989648033122
43.7006230095541	0.000222525879917145
45.880652866242	0.000239925465838497
48.0057882165605	0.000248629399585882
49.9948128980892	0.000253606625258787
51.9184136146497	0.000263859213250512
53.8705891719745	0.000282815734989622
55.62875	0.000287792960662526
57.5192635350318	0.000297424430641807
59.7195979299363	0.000315453416149021
62.7584056528662	0.00033254658385092
66.0506349522293	0.000343113871635576
69.1157623407643	0.000361449275362301
72.0650816082803	0.000382583850931672
74.7970760350319	0.000396877846790868
77.3155035828025	0.000408687370600409
79.7030851910828	0.000422360248447162
81.8883777866242	0.000435105590062078
84.0014808917198	0.000451577639751534
85.9619287420382	0.000463693581780528
87.8404100318471	0.000475817805383001
89.7903304140127	0.000477060041407828
91.6808439490446	0.000498194616977198
93.6676114649682	0.00050814078674947
95.9401373407643	0.000520571428571395
98.6871715764331	0.000534244306418207
101.775609076433	0.00056159834368525
104.72568272293	0.00057122981366459
107.499787022293	0.000597648033126258
110.224261544586	0.000620952380952352
112.814880573248	0.000631213250517555
115.255853901274	0.00064582194616974
117.533642515924	0.000657631469979282
119.698632563694	0.000679072463768105
121.889944267516	0.000692124223602474
123.924838773885	0.000698028985507215
125.917623407643	0.000714815734989603
127.951015127389	0.000729424430641788
129.873111066879	0.000747138716356071
131.977189490446	0.000762360248447163
134.74527866242	0.000778211180124176
137.891622213376	0.000799966873705988
141.06578821656	0.000814890269151106
144.178292197452	0.000847834368530021
146.818542993631	0.000865855072463751
149.427209394904	0.000874559006211139
151.80877388535	0.00088294824016559
154.044452627389	0.000909060041407868
156.172595541401	0.000918376811594162
158.178162818471	0.000935163561076604
160.130338375796	0.000955983436852986
162.017091958599	0.000958161490683188
163.894068471338	0.000973391304347818
165.874820859873	0.000986443064182186
167.766084792994	0.000989863354037209
170.025075636943	0.00101628157349894
172.438974920382	0.00103399585921323
175.269480493631	0.00103958592132504
178.55494227707	0.00106662525879915
181.792275079618	0.00108806625258797
184.825067675159	0.00110391718426498
187.638276273885	0.00112660869565217
190.08150477707	0.0011446293995859
192.332223328025	0.00115457556935818
194.497213375796	0.00116887784679085
196.321550557325	0.00117850931677013
198.147392515924	0.00119808695652168
200.016102707006	0.00121642236024841
201.759215764331	0.00122388405797097
203.618909235669	0.00123475776397514
205.78238455414	0.00124688198757761
208.391042993631	0.0012611759834368
211.149363057325	0.00128479503105588
213.965585191083	0.00130562318840575
216.684792993631	0.00132675776397511
219.312261146497	0.00134633540372667
222.019446656051	0.00136777639751549
224.433339968153	0.00138207867494822
226.76902866242	0.00139855072463768
229.075398089172	0.00141408695652171
231.287002388535	0.00142962318840579
233.373785828025	0.00144081159420288
235.463594745223	0.00145946169772254
237.628582802548	0.00147220703933746
240.10865843949	0.00149178467908901
243.35951433121	0.00151260455486539
246.613395700637	0.0015374658385093
249.625895700637	0.00155487370600413
252.436086783439	0.00156606211180123
254.897372611465	0.00159527950310554
257.209753184713	0.00161267908902689
259.26946656051	0.00162697308488609
261.18252388535	0.00163878260869563
263.089589968153	0.00165867494824012
264.964311305733	0.00166799999999994
266.72472133758	0.00168571428571429
268.513714171974	0.00170094409937886
270.347074044586	0.00171555279503104
272.422591560509	0.00173108902691506
275.191421178344	0.00174973913043478
278.359574044586	0.00177025258799171
281.607444267516	0.0017966625258799
284.59361066879	0.00181655486542438
287.374482484076	0.00183147826086956
290.017734872611	0.00185602484472048
292.440664808917	0.00187063354037266
294.664311305732	0.00190015734989643
296.780414012739	0.0019101035196687
298.795003980892	0.00192689026915109
300.632882165605	0.00193807867494818
302.339152070064	0.00196542443064181
304.084534235669	0.00197847619047617
306.072054140127	0.00199184265010348
308.602507961783	0.0020132836438923
311.483399681529	0.00204125879917179
314.24247611465	0.00207326708074532
316.533797770701	0.00210963146997926
318.124263535032	0.00213325051759829
319.568093152866	0.00218359420289855
322.263992834395	0.00223114699792959
325.063654458599	0.00229951966873701
327.946058917197	0.00236572256728777
330.522392515924	0.00243440165631469
330.983359872611	0.00251644720496893
324.458300159236	0.00265568530020702
325.527647292994	0.0029686459627329
331.154060509554	0.00334905175983431
331.627826433121	0.00372044720496894
329.250756369427	0.00416269151138711
324.720003980892	0.00474666666666662
332.936285828025	0.00546707246376809
331.310469745223	0.00622290683229813
331.855672770701	0.00706918426501033
330.726930732484	0.00807706832298133
336.114968152866	0.00925464182194617
350.635210987261	0.0103849772256729
358.250656847134	0.0113540207039337
364.729080414013	0.012244115942029
370.241202229299	0.0130565134575569
374.834375	0.0138176314699793
378.811683917197	0.014511619047619
382.452070063694	0.015176397515528
385.732285031847	0.015795486542443
388.614669585987	0.0163946832298136
391.255672770701	0.0169600082815735
393.738753980892	0.0174942525879916
395.903742038217	0.0180157598343685
397.937141719745	0.0185189233954451
399.649422770701	0.0190174244306417
400.663873407643	0.0194975900621117
402.731090764331	0.0199920579710145
405.631548566879	0.0204771925465839
407.919864649682	0.0209523892339544
409.923925159236	0.0214251014492754
411.882862261146	0.021884132505176
413.907225318471	0.022351867494824
415.955672770701	0.0228056231884057
417.619824840764	0.0232621697722567
419.422352707006	0.0237264844720497
421.302348726115	0.0241848944099379
422.980792197452	0.0246457971014493
424.839729299363	0.0251088695652174
426.743013535032	0.0255610683229814
428.586902866242	0.0260331511387164
430.64886544586	0.0264974658385093
432.677746815287	0.0269757763975154
434.586305732484	0.0274786252587991
436.571576433121	0.027975884057971
438.695203025478	0.0284911718426501
440.699263535032	0.0290313209109731
442.726652070064	0.0295727204968943
444.75326433121	0.0301408364389234
446.775378184713	0.0307223188405797
448.857663216561	0.0313174824016563
450.869247611465	0.0319315942028986
452.939470541401	0.0325593871635611
455.089430732484	0.033208
457.177707006369	0.0338827246376812
459.238176751592	0.034572049689441
461.314430732484	0.0352896563146997
463.456867038217	0.0360290269151139
465.546656050955	0.0368031966873706
467.640963375796	0.0375857639751553
469.857085987261	0.0384077929606625
471.676154458599	0.0392534492753622
473.870481687898	0.0401367122153209
475.867018312102	0.0410355113871635
477.956807324841	0.0419740869565217
479.859355095541	0.0429456066252588
481.891242038217	0.0439522484472049
483.939669585987	0.04500333747412
485.942993630573	0.0460954451345756
487.93351910828	0.0472344844720497
489.822531847134	0.0484328861283644
491.782981687898	0.0496726128364389
493.66747611465	0.0509630062111801
495.428642515924	0.0523211511387163
497.186803343949	0.0537283975155279
498.90511544586	0.0551999751552795
500.603105095541	0.0567427329192547
502.004080414013	0.0583569606625259
503.429100318471	0.0600457805383023
504.81050955414	0.0618020455486542
505.970083598726	0.0636596273291925
507.11236066879	0.0656064016563146
