deformacia,napatie
7.938085e-07,0.254030868479
-5.897982e-05,-0.508061806326
3.938414e-06,-0.338707894007
-5.583521e-05,-1.05846212542
1.338145e-05,0.677415718646
-6.842285e-05,-1.39716981132
1.023684e-05,-0.592738762486
-6.212443e-05,-1.10080049945
1.023684e-05,-1.14313887347
-6.212443e-05,3.13304800222
0.0001203503,22.4817355716
0.0001109072,37.0461709212
0.0003217003,55.1247017203
0.0003279895,71.2133046615
0.000520804,90.6467119867
0.0005513718,105.803898446
0.0007215987,122.569922309
0.0007715987,139.251248613
0.0009249793,156.186667592
0.001195742,171.80958657
0.001425412,188.787319645
0.001677989,204.706576027
0.001929681,221.00686737
0.001945413,235.105577137
0.002307216,251.448251942
0.002555763,264.149764151
0.00336432,278.248473918
0.00494368,288.706090455
0.006283887,301.661695339
0.008206225,313.347114317
0.01183373,327.445824084
0.01603069,338.792522198
0.02026225,351.875138735
0.02495944,362.629092675
0.02965663,375.542314095
0.0346118,385.872918979
0.03929326,398.193396226
0.04428583,408.100652053
0.04969719,419.659059378
0.05483484,429.185210877
0.06017386,439.812153163
0.06516992,448.406839623
0.0696406,458.695130411
0.07471846,466.908781909
0.07998511,476.096212542
0.08513975,483.336084906
0.09033403,492.100166482
0.09551888,498.45095727
0.1004677,506.071864595
0.105467,511.787597114
0.110117,518.350027747
0.114811,523.134295228
0.1192911,528.765330189
0.1265587,532.872155938
0.13,537.529342397
0.138,540.535377358
0.1465,544.049528302
0.1545,546.547447281
0.1635,549.511168147
0.174,551.41641232
0.184,552.390191454

